State,total,x,y,abbr,name,fips,state,Total:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
Alaska,733391,0,0,AK,Alaska,2,Alaska,733391,635190,437551,28359,110300,44818,13172,18192,88634
Hawaii,1455271,0,7,HI,Hawaii,15,Hawaii,1455271,1087142,333261,23417,4370,541902,157445,26747,368129
Washington,7705281,1,2,WA,Washington,53,Washington,7705281,6868622,5130920,307565,121468,730596,64933,513140,836659
Oregon,4237256,1,3,OR,Oregon,41,Oregon,4237256,3793917,3169096,82655,62993,194538,19204,265431,443339
California,39538223,1,4,CA,California,6,California,39538223,33777988,16296122,2237044,631016,6085947,157263,8370596,5760235
Idaho,1839106,2,2,ID,Idaho,16,Idaho,1839106,1685901,1510360,15726,25621,26836,3726,103632,153205
Utah,3271616,2,3,UT,Utah,49,Utah,3271616,2992603,2573413,40058,41644,80438,36930,220120,279013
Nevada,3104614,2,4,NV,Nevada,32,Nevada,3104614,2670605,1588463,304739,43932,272703,25011,435757,434009
Arizona,7151502,2,5,AZ,Arizona,4,Arizona,7151502,6154696,4322337,339150,319512,257430,16397,899870,996806
Montana,1084225,3,2,MT,Montana,30,Montana,1084225,1012950,916524,5484,67612,8300,941,14089,71275
Wyoming,576851,3,3,WY,Wyoming,56,Wyoming,576851,533378,488374,5232,13898,5212,579,20083,43473
Colorado,5773714,3,4,CO,Colorado,8,Colorado,5773714,5066044,4082927,234828,74129,199827,10287,464046,707670
New Mexico,2117522,3,5,NM,New Mexico,35,New Mexico,2117522,1695276,1078937,45904,212241,37469,2093,318632,422246
North Dakota,779094,4,2,ND,North Dakota,38,North Dakota,779094,737154,645938,26783,38914,13213,924,11382,41940
South Dakota,886667,4,3,SD,South Dakota,46,South Dakota,886667,840002,715336,17842,77748,13476,543,15057,46665
Nebraska,1961504,4,4,NE,Nebraska,31,Nebraska,1961504,1817341,1538052,96535,23102,52951,1534,105167,144163
Kansas,2937880,4,5,KS,Kansas,20,Kansas,2937880,2657373,2222462,168809,30995,86273,3412,145422,280507
Oklahoma,3959353,4,6,OK,Oklahoma,40,Oklahoma,3959353,3451195,2514885,289961,332791,90949,8608,214001,508158
Minnesota,5706494,5,2,MN,Minnesota,27,Minnesota,5706494,5360773,4423146,398434,68641,299190,2918,168444,345721
Iowa,3190369,5,3,IA,Iowa,19,Iowa,3190369,3011086,2694521,131972,14486,75629,5758,88720,179283
Missouri,6154913,5,4,MO,Missouri,29,Missouri,6154913,5741742,4740335,699840,30518,133377,9730,127942,413171
Arkansas,3011524,5,5,AR,Arkansas,5,Arkansas,3011524,2797949,2114512,453783,27177,51839,14533,136105,213575
Louisiana,4657757,5,6,LA,Louisiana,22,Louisiana,4657757,4384380,2657652,1464023,31657,86438,1911,142699,273377
Texas,29145505,5,7,TX,Texas,48,Texas,29145505,24011767,14609365,3552997,278948,1585480,33611,3951366,5133738
Wisconsin,5893718,6,2,WI,Wisconsin,55,Wisconsin,5893718,5534184,4737545,376256,60428,175702,2199,182054,359534
Illinois,12812508,6,3,IL,Illinois,17,Illinois,12812508,11667524,7868227,1808271,96498,754878,4501,1135149,1144984
Indiana,6785528,6,4,IN,Indiana,18,Indiana,6785528,6348802,5241795,648513,26086,167959,3137,261312,436726
Kentucky,4505836,6,5,KY,Kentucky,21,Kentucky,4505836,4260996,3711254,362417,12801,74426,3681,96417,244840
Mississippi,2961279,6,6,MS,Mississippi,28,Mississippi,2961279,2850547,1658893,1084481,16450,32709,1154,56860,110732
Michigan,10077331,7,2,MI,Michigan,26,Michigan,10077331,9442016,7444974,1376579,61261,334300,3051,221851,635315
Ohio,11799448,7,3,OH,Ohio,39,Ohio,11799448,11118076,9080688,1478781,30720,298509,5034,224344,681372
West Virginia,1793716,7,4,WV,West Virginia,54,West Virginia,1793716,1708772,1610749,65813,3706,15109,476,12919,84944
Tennessee,6910840,7,5,TN,Tennessee,47,Tennessee,6910840,6497942,4990938,1092948,28044,135615,4115,246282,412898
Alabama,5024279,7,6,AL,Alabama,1,Alabama,5024279,4767326,3220452,1296162,33625,76660,2984,137443,256953
Pennsylvania,13002700,8,3,PA,Pennsylvania,42,Pennsylvania,13002700,12228216,9750687,1423169,31052,510501,4276,508531,774484
Virginia,8631393,8,4,VA,Virginia,51,Virginia,8631393,7925686,5208856,1607581,40007,615436,7156,446650,705707
South Carolina,5118425,8,5,SC,South Carolina,45,South Carolina,5118425,4820049,3243442,1280531,24303,90466,3431,177876,298376
Georgia,10711908,8,6,GA,Georgia,13,Georgia,10711908,9968000,5555483,3320513,50618,479028,7299,555059,743908
New York,20201249,9,2,NY,New York,36,New York,20201249,18433786,11143349,2986172,149690,1933127,10815,2210633,1767463
New Jersey,9288994,9,3,NJ,New Jersey,34,New Jersey,9288994,8385500,5112280,1219770,51186,950090,3533,1048641,903494
Maryland,6177224,9,4,MD,Maryland,24,Maryland,6177224,5695323,3007874,1820472,31845,420944,3247,410941,481901
North Carolina,10439388,9,5,NC,North Carolina,37,North Carolina,10439388,9727667,6488459,2140217,130032,343051,8518,617390,711721
Florida,21538187,9,6,FL,Florida,12,Florida,21538187,17986115,12422961,3246381,94795,643682,14014,1564282,3552072
Vermont,643077,10,1,VT,Vermont,50,Vermont,643077,606051,577751,9034,2289,11549,181,5247,37026
Massachusetts,7029917,10,2,MA,Massachusetts,25,Massachusetts,7029917,6421050,4896037,494029,24018,507934,2301,496731,608867
Connecticut,3605944,10,3,CT,Connecticut,9,Connecticut,3605944,3273040,2395128,388675,16051,172455,1598,299133,332904
Delaware,989948,10,4,DE,Delaware,10,Delaware,989948,913430,597763,218899,5148,42699,412,48509,76518
Maine,1362359,11,0,ME,Maine,23,Maine,1362359,1297649,1237041,25752,7885,16798,443,9730,64710
New Hampshire,1377529,11,1,NH,New Hampshire,33,New Hampshire,1377529,1299787,1216203,20127,3031,35871,453,24102,77742
Rhode Island,1097379,11,2,RI,Rhode Island,44,Rhode Island,1097379,995585,782920,62168,7385,38961,536,103615,101794